#
# contig_name	read_name
#
302_c2	98-9700000-9720000:12336:fwd
302_c2	196-9700000-9720000:12544:fwd
302_c2	446-9700000-9720000:12241:fwd
302_c2	82-9700000-9720000:12118:fwd
302_c2	273-9700000-9720000:12759:fwd
302_c2	20-9700000-9720000:13320:rev
302_c2	43-9700000-9720000:13420:rev
302_c2	731-9700000-9720000:13497:rev
302_c2	76-9700000-9720000:12992:fwd
302_c2	563-9700000-9720000:12588:rev
302_c2	207-9700000-9720000:12765:fwd
302_c2	270-9700000-9720000:13438:rev
302_c2	445-9700000-9720000:12891:fwd
302_c2	58-9700000-9720000:13396:rev
302_c2	643-9700000-9720000:12701:rev
302_c2	346-9700000-9720000:13505:rev
302_c2	311-9700000-9720000:12008:fwd
302_c2	778-9700000-9720000:12353:rev
302_c2	370-9700000-9720000:11849:fwd
302_c2	277-9700000-9720000:11791:fwd
302_c2	536-9700000-9720000:11758:fwd
302_c2	153-9700000-9720000:11686:fwd
302_c2	126-9700000-9720000:11667:fwd
302_c2	382-9700000-9720000:12205:rev
302_c2	390-9700000-9720000:12123:rev
302_c2	6-9700000-9720000:12112:rev
302_c2	724-9700000-9720000:11983:rev
302_c2	479-9700000-9720000:11553:fwd
302_c2	539-9700000-9720000:11451:fwd
302_c2	704-9700000-9720000:11505:fwd
302_c2	758-9700000-9720000:11325:fwd
302_c2	350-9700000-9720000:11884:rev
302_c2	467-9700000-9720000:11841:rev
302_c2	165-9700000-9720000:11820:rev
302_c2	660-9700000-9720000:11240:fwd
302_c2	259-9700000-9720000:11748:rev
302_c2	252-9700000-9720000:11190:fwd
302_c2	357-9700000-9720000:11703:rev
302_c2	16-9700000-9720000:11668:rev
302_c2	510-9700000-9720000:11652:rev
302_c2	625-9700000-9720000:11592:rev
302_c2	463-9700000-9720000:11112:fwd
302_c2	228-9700000-9720000:11192:fwd
302_c2	308-9700000-9720000:11646:rev
302_c2	140-9700000-9720000:11214:fwd
302_c2	191-9700000-9720000:11060:fwd
302_c2	412-9700000-9720000:10966:fwd
302_c2	25-9700000-9720000:11002:fwd
302_c2	120-9700000-9720000:11421:rev
302_c2	719-9700000-9720000:11496:rev
302_c2	385-9700000-9720000:11421:rev
302_c2	200-9700000-9720000:10965:fwd
302_c2	497-9700000-9720000:11210:fwd
302_c2	248-9700000-9720000:11578:rev
302_c2	31-9700000-9720000:11570:rev
302_c2	366-9700000-9720000:11129:fwd
302_c2	243-9700000-9720000:11770:rev
302_c2	566-9700000-9720000:11442:rev
302_c2	403-9700000-9720000:10914:fwd
302_c2	545-9700000-9720000:11453:rev
302_c2	47-9700000-9720000:11880:fwd
302_c2	206-9700000-9720000:12315:rev
302_c2	242-9700000-9720000:11775:fwd
302_c2	135-9700000-9720000:11732:fwd
302_c2	448-9700000-9720000:11694:rev
302_c2	500-9700000-9720000:11789:rev
302_c2	707-9700000-9720000:11525:fwd
302_c2	642-9700000-9720000:12419:rev
302_c2	399-9700000-9720000:10726:fwd
302_c2	163-9700000-9720000:10724:fwd
302_c2	202-9700000-9720000:11166:rev
302_c2	413-9700000-9720000:10590:fwd
302_c2	613-9700000-9720000:10983:rev
302_c2	90-9700000-9720000:10414:fwd
302_c2	388-9700000-9720000:10861:rev
302_c2	435-9700000-9720000:10373:fwd
302_c2	726-9700000-9720000:10922:rev
302_c2	115-9700000-9720000:10899:rev
302_c2	730-9700000-9720000:10913:rev
302_c2	676-9700000-9720000:10262:fwd
302_c2	52-9700000-9720000:10180:fwd
